Nr. do Pedido;Status;Data do Pedido;Valor do Pedido(R$);Data de Pagto;Valor de Pagto(R$);Meio de Pagto;Atual Registro;Cod. Operacao
23847;Boleto - Gerado (10/13);17/07/2017 13:26;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23850;Boleto - Gerado (10/13);17/07/2017 13:40;22;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23852;Boleto - Gerado (10/13);17/07/2017 13:54;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23854;Boleto - Pago Igual (21);17/07/2017 13:59;50;21/07/2017 00:00;50.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
23855;Boleto - Gerado (10/13);17/07/2017 14:00;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23858;Boleto - Gerado (10/13);17/07/2017 14:18;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23857;Boleto - Pago Igual (21);17/07/2017 14:34;22;20/07/2017 00:00;22.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23849;Boleto - Pago Igual (21);17/07/2017 14:50;30;20/07/2017 00:00;30.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23285;Boleto - Gerado (10/13);17/07/2017 15:03;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23458;Boleto - Gerado (10/13);17/07/2017 15:13;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23859;Boleto - Pago Igual (21);17/07/2017 15:13;38;20/07/2017 00:00;38.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23860;Boleto - Pago Igual (21);17/07/2017 15:20;32;21/07/2017 00:00;32.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
23861;Boleto - Pago Igual (21);17/07/2017 15:27;38;18/07/2017 00:00;38.00;BOLETO SEM RETORNO;18/07/2017 04:29;0 - Operação finalizada com sucesso
23863;Boleto - Gerado (10/13);17/07/2017 15:31;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23864;Boleto - Pago Igual (21);17/07/2017 15:42;38;20/07/2017 00:00;38.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23708;Boleto - Pago Igual (21);17/07/2017 15:45;22;18/07/2017 00:00;22.00;BOLETO SEM RETORNO;18/07/2017 04:29;0 - Operação finalizada com sucesso
23865;Boleto - Pago Igual (21);17/07/2017 15:47;50;19/07/2017 00:00;50.00;BOLETO SEM RETORNO;19/07/2017 02:12;0 - Operação finalizada com sucesso
23866;Boleto - Gerado (10/13);17/07/2017 15:58;30;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23701;Boleto - Pago Igual (21);17/07/2017 16:16;32;19/07/2017 00:00;32.00;BOLETO SEM RETORNO;19/07/2017 02:12;0 - Operação finalizada com sucesso
23867;Boleto - Gerado (10/13);17/07/2017 16:20;30;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23868;Boleto - Gerado (10/13);17/07/2017 16:24;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23871;Boleto - Gerado (10/13);17/07/2017 16:41;30;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23869;Boleto - Gerado (10/13);17/07/2017 16:42;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23870;Boleto - Gerado (10/13);17/07/2017 16:43;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23872;Boleto - Gerado (10/13);17/07/2017 16:45;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23873;Boleto - Pago Igual (21);17/07/2017 17:05;22;21/07/2017 00:00;22.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
23874;Boleto - Gerado (10/13);17/07/2017 18:31;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23876;Boleto - Pago Igual (21);17/07/2017 18:47;50;21/07/2017 00:00;50.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
23877;Boleto - Pago Igual (21);17/07/2017 18:48;38;21/07/2017 00:00;38.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
23878;Boleto - Gerado (10/13);17/07/2017 19:07;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23879;Boleto - Pago Igual (21);17/07/2017 19:33;38;20/07/2017 00:00;38.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23692;Boleto - Pago Igual (21);17/07/2017 19:36;50;20/07/2017 00:00;50.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23880;Boleto - Pago Igual (21);17/07/2017 19:37;50;19/07/2017 00:00;50.00;BOLETO SEM RETORNO;19/07/2017 02:12;0 - Operação finalizada com sucesso
23882;Boleto - Gerado (10/13);17/07/2017 19:46;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23883;Boleto - Gerado (10/13);17/07/2017 20:05;30;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23884;Boleto - Pago Igual (21);17/07/2017 20:12;30;20/07/2017 00:00;30.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23885;Boleto - Gerado (10/13);17/07/2017 20:21;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23887;Boleto - Gerado (10/13);17/07/2017 20:38;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23888;Boleto - Pago Igual (21);17/07/2017 20:43;30;21/07/2017 00:00;30.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
23881;Boleto - Pago Igual (21);17/07/2017 20:51;50;19/07/2017 00:00;50.00;BOLETO SEM RETORNO;19/07/2017 02:12;0 - Operação finalizada com sucesso
23890;Boleto - Gerado (10/13);17/07/2017 21:19;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23891;Boleto - Gerado (10/13);17/07/2017 21:29;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23892;Boleto - Pago Igual (21);17/07/2017 22:09;50;21/07/2017 00:00;50.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
23893;Boleto - Gerado (10/13);17/07/2017 22:14;30;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23895;Boleto - Gerado (10/13);17/07/2017 23:05;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23894;Boleto - Gerado (10/13);17/07/2017 23:06;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23896;Boleto - Gerado (10/13);17/07/2017 23:57;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
